File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's	Naive
1.#INF	30.4615	1.#INF	79.2
1.#INF	30.5385	1.#INF	79.4
1.#INF	30.6154	1.#INF	79.6
1.#INF	30.6923	1.#INF	79.8
1.#INF	30.7692	1.#INF	80
1.#INF	30.8462	1.#INF	80.2
1.#INF	30.9231	1.#INF	80.4
1.#INF	31	1.#INF	80.6
1.#INF	31.0769	1.#INF	80.8
1.#INF	31.1538	1.#INF	81
1.#INF	31.2308	1.#INF	81.2
1.#INF	31.3077	1.#INF	81.4
1.#INF	31.3846	1.#INF	81.6
1.#INF	31.4615	1.#INF	81.8
1.#INF	31.5385	1.#INF	82
1.#INF	31.6154	1.#INF	82.2
1.#INF	31.6923	1.#INF	82.4
1.#INF	31.7692	1.#INF	82.6
1.#INF	31.8462	1.#INF	82.8
1.#INF	31.9231	1.#INF	83
1.#INF	32	1.#INF	83.2
1.#INF	32.0769	1.#INF	83.4
1.#INF	32.1538	1.#INF	83.6
1.#INF	32.2308	1.#INF	83.8
1.#INF	32.3077	1.#INF	84
1.#INF	32.3846	1.#INF	84.2
1.#INF	32.4615	1.#INF	84.4
1.#INF	32.5385	1.#INF	84.6
1.#INF	30.2857	1.#INF	84.8
1.#INF	30.3571	1.#INF	85
1.#INF	30.4286	1.#INF	85.2
1.#INF	30.5	1.#INF	85.4
1.#INF	30.5714	1.#INF	85.6
1.#INF	30.6429	1.#INF	85.8
1.#INF	30.7143	1.#INF	86
1.#INF	30.7857	431	86.2
1.#INF	30.8571	432	86.4
1.#INF	30.9286	433	86.6
1.#INF	31	434	86.8
1.#INF	31.0714	435	87
1.#INF	31.1429	436	87.2
1.#INF	31.2143	437	87.4
1.#INF	31.2857	438	87.6
1.#INF	31.3571	439	87.8
1.#INF	31.4286	440	88
1.#INF	31.5	441	88.2
1.#INF	31.5714	442	88.4
1.#INF	31.6429	443	88.6
1.#INF	31.7143	444	88.8
1.#INF	31.7857	445	89
1.#INF	31.8571	446	89.2
1.#INF	31.9286	447	89.4
1.#INF	32	448	89.6
1.#INF	32.0714	449	89.8
1.#INF	32.1429	450	90
1.#INF	32.2143	451	90.2
1.#INF	32.2857	452	90.4
1.#INF	32.3571	453	90.6
1.#INF	32.4286	454	90.8
1.#INF	32.5	455	91
1.#INF	32.5714	456	91.2
1.#INF	32.6429	457	91.4
1.#INF	32.7143	458	76.3333
1.#INF	32.7857	459	76.5
1.#INF	32.8571	460	76.6667
1.#INF	32.9286	461	76.8333
