File is used to store test data from the program
The data is Lines Drawn Per CPU-CLock for: 
OpenGL	DDA	Bresenham's
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
1.#INF	1.#INF	1.#INF
40.5238	15.4727	170.2
40.5714	15.4909	170.4
40.619	15.5091	170.6
40.6667	15.5273	170.8
40.7143	15.5455	171
40.7619	15.5636	171.2
40.8095	15.5818	171.4
40.8571	15.6	171.6
40.9048	15.6182	171.8
40.9524	15.6364	172
41	15.6545	172.2
41.0476	15.6727	172.4
41.0952	15.6909	172.6
41.1429	15.7091	172.8
41.1905	15.7273	173
41.2381	15.7455	173.2
41.2857	15.7636	173.4
41.3333	15.7818	173.6
41.381	15.8	173.8
41.4286	15.8182	174
41.4762	15.8364	174.2
41.5238	15.8545	174.4
41.5714	15.8727	174.6
41.619	15.8909	174.8
41.6667	15.9091	175
41.7143	15.9273	175.2
41.7619	15.9455	175.4
41.8095	15.6786	175.6
41.8571	15.6964	175.8
41.9048	15.7143	176
41.9524	15.7321	176.2
42	15.75	176.4
42.0476	15.7679	176.6
42.0952	15.7857	176.8
42.1429	15.8036	177
42.1905	15.8214	177.2
42.2381	15.8393	177.4
42.2857	15.8571	177.6
42.3333	15.875	177.8
42.381	15.8929	178
42.4286	15.9107	178.2
42.4762	15.9286	178.4
42.5238	15.6667	178.6
42.5714	15.6842	178.8
42.619	15.7018	179
42.6667	15.4483	179.2
42.7143	15.4655	179.4
42.7619	15.4828	179.6
42.8095	15.5	179.8
42.8571	15.5172	180
42.9048	15.5345	180.2
42.9524	15.5517	180.4
43	15.569	180.6
43.0476	15.5862	180.8
43.0952	15.6034	181
43.1429	15.6207	181.2
43.1905	15.6379	181.4
43.2381	15.6552	181.6
43.2857	15.6724	181.8
43.3333	15.6897	182
43.381	15.7069	182.2
43.4286	15.7241	182.4
43.4762	15.7414	182.6
43.5238	15.7586	182.8
43.5714	15.7759	183
43.619	15.7931	183.2
43.6667	15.5424	183.4
43.7143	15.5593	183.6
43.7619	15.5763	183.8
43.8095	15.3333	184
43.8571	15.0984	184.2
43.9048	15.1148	184.4
43.9524	15.1311	184.6
44	15.1475	184.8
44.0476	15.1639	185
44.0952	15.1803	185.2
44.1429	15.1967	185.4
44.1905	15.2131	185.6
44.2381	15.2295	185.8
44.2857	15.2459	186
44.3333	15.2623	186.2
44.381	15.2787	186.4
44.4286	15.2951	186.6
44.4762	15.3115	186.8
44.5238	15.3279	187
44.5714	15.3443	187.2
44.619	15.3607	187.4
44.6667	15.377	187.6
44.7143	15.3934	187.8
44.7619	15.4098	188
44.8095	15.4262	188.2
44.8571	15.4426	188.4
44.9048	15.459	188.6
44.9524	15.4754	188.8
45	15.4918	189
45.0476	15.5082	189.2
45.0952	15.5246	189.4
45.1429	15.2903	189.6
45.1905	15.3065	189.8
45.2381	15.3226	190
45.2857	15.3387	190.2
45.3333	15.3548	190.4
45.381	15.371	190.6
45.4286	15.3871	190.8
45.4762	15.4032	191
